"Flock size, perception, aC, cC, sC",10,500,10,10,10
25,0.9417722657220369,0.28602941702280177,0.0760571948902565,0.591721348838318,0.08730983788322663,0.6820155238792692,0.3597770029228963,0.6747600850778512,0.0,0.3980996801640332
50,0.9404139180147733,0.2824,0.08,0.60456864,0.08,0.6869917404800001,0.36168144,0.6891792042636801,0.0,0.40385008
75,0.9404139180147733,0.2824,0.08,0.60456864,0.08,0.6869917404800001,0.36168144,0.6891792042636801,0.0,0.40385008
100,0.9404139180147733,0.2824,0.08,0.60456864,0.08,0.6869917404800001,0.36168144,0.6891792042636801,0.0,0.40385008
125,0.9404139180147733,0.2824,0.08,0.60456864,0.08,0.6869917404800001,0.36312288,0.6891792042636801,0.0,0.40433585728
150,0.9404139180147733,0.2824,0.08,0.60456864,0.08,0.6869917404800001,0.36312288,0.6891792042636801,0.0,0.40433585728
175,0.9455456113627739,0.2824,0.08,0.60456864,0.08,0.6891864909228801,0.36312288,0.6925739112473601,0.0,0.40433585728
200,0.9455456113627739,0.2824,0.08,0.6091835763110399,0.08,0.6894323029705512,0.36312288,0.6925739112473601,0.0,0.40433585728
225,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6894323029705512,0.36312288,0.6925739112473601,0.0,0.40433585728
250,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6894323029705512,0.36312288,0.6925739112473601,0.0,0.40602883455999994
275,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6928285194892623,0.36312288,0.6925739112473601,0.0,0.40602883455999994
300,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6928285194892623,0.36312288,0.6925739112473601,0.0,0.40602883455999994
325,0.9423205658314653,0.2824,0.08,0.6104126365493953,0.08,0.6911064215436802,0.36312288,0.6908620842636801,0.0,0.39999999999999997
350,0.9372079933067727,0.2812,0.08,0.6072491416992001,0.08,0.6852929686400001,0.36168144,0.6874775264518401,0.0,0.40168
375,0.93499274398208,0.2812,0.08,0.6055430832,0.08,0.6872331804800001,0.36144,0.6872331804800001,0.0,0.40433585728
400,0.9435495823498651,0.2824,0.08,0.6012,0.08,0.6925812413657602,0.36312288,0.6923266419200002,0.0,0.40602883455999994
425,0.9435495823498651,0.2824,0.08,0.6072317231999999,0.08,0.6928285194892623,0.36312288,0.6923266419200002,0.0,0.40602883455999994
450,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6928285194892623,0.36312288,0.6925739112473601,0.0,0.40602883455999994
475,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6928285194892623,0.36312288,0.6925739112473601,0.0,0.40602883455999994
500,0.9455456113627739,0.2824,0.08,0.6104126365493953,0.08,0.6928285194892623,0.36312288,0.6925739112473601,0.0,0.40602883455999994
525,0.9423205658314653,0.2824,0.08,0.6104126365493953,0.08,0.6843344086400002,0.36312288,0.6908620842636801,0.0,0.39999999999999997
550,0.9318293449510402,0.2812,0.08,0.6043430832000001,0.08,0.68,0.36168144,0.6852929686400001,0.0,0.40168
575,0.9245686400000003,0.2812,0.08,0.6012,0.08,0.6816800000000001,0.36144,0.6816800000000001,0.0,0.40215999999999996
600,0.9345098639820801,0.2812,0.08,0.6012,0.08,0.6869917404800001,0.36144,0.68674016,0.0,0.40385008
625,0.9345098639820801,0.2812,0.08,0.6057830832,0.08,0.6872360864518401,0.36144,0.68674016,0.0,0.40385008
650,0.9404139180147733,0.2812,0.08,0.6074891416992001,0.08,0.6894323029705512,0.36168144,0.6891792042636801,0.0,0.40433585728
675,0.9364822246667727,0.2812,0.08,0.6057830832,0.08,0.6872360864518401,0.36144,0.6869844972800001,0.0,0.40385008
700,0.9364822246667727,0.2812,0.08,0.6057830832,0.08,0.6872360864518401,0.36144,0.6869844972800001,0.0,0.40385008
725,0.9332954207820803,0.2812,0.08,0.6057830832,0.08,0.68553440864,0.36144,0.6852929686400001,0.0,0.39999999999999997
750,0.9357331210207465,0.28,0.08,0.6043430832000001,0.08,0.68505008,0.36024,0.6874775264518401,0.0,0.40168
775,0.93499274398208,0.2812,0.08,0.6026472,0.08,0.6872331804800001,0.36144,0.6872331804800001,0.0,0.40433585728
800,0.9384297231659726,0.2812,0.08,0.6012,0.08,0.6894323029705512,0.36168144,0.6889334009600001,0.0,0.40433585728
