"Flock size, perception, aC, cC, sC",10,100,10,10,10
25,0.48026368225063715,0.8995234880221405,0.5937922663721855,0.5537471298954267,0.3655042821294458,0.07675477160276487,0.579608482966793,0.24788930390227423,0.19357006500608995,0.7301003404319723
50,0.48191999999999996,0.8800000000000002,0.5599999999999999,0.5199999999999999,0.36,0.04,0.5599999999999999,0.24000000000000002,0.16,0.72384
75,0.48191999999999996,0.8800000000000002,0.5599999999999999,0.5199999999999999,0.36,0.04,0.5599999999999999,0.24000000000000002,0.16,0.72384
100,0.48191999999999996,0.8800000000000002,0.5599999999999999,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
125,0.48191999999999996,0.8800000000000002,0.5599999999999999,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
150,0.48191999999999996,0.8800000000000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
175,0.48191999999999996,0.8800000000000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
200,0.48191999999999996,0.8800000000000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
225,0.48191999999999996,0.8850400000000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
250,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
275,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
300,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
325,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
350,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
375,0.48191999999999996,0.8860057600000002,0.56192,0.5209599999999999,0.36,0.04,0.56264144,0.24000000000000002,0.16,0.72384
400,0.48336863999999996,0.8913421016473602,0.5645744086400001,0.5238457599999999,0.36192,0.04,0.5645744086400001,0.24048000000000003,0.16,0.72674307456
425,0.48336863999999996,0.8913421016473602,0.5645744086400001,0.5238457599999999,0.36192,0.04,0.5645744086400001,0.24048000000000003,0.16,0.72674307456
450,0.4814399999999999,0.8913421016473602,0.5645744086400001,0.5238457599999999,0.36192,0.04,0.5645744086400001,0.24000000000000002,0.16,0.72674307456
475,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
500,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
525,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
550,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
575,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
600,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
625,0.4814399999999999,0.8913421016473602,0.5599999999999999,0.5238457599999999,0.36192,0.04,0.5599999999999999,0.24000000000000002,0.16,0.7257715200000001
650,0.4814399999999999,0.8913421016473602,0.5624,0.5238457599999999,0.36192,0.04,0.5624,0.24000000000000002,0.16,0.72674307456
675,0.4814399999999999,0.8933027337254044,0.5636072,0.5238457599999999,0.3631272,0.04,0.5624,0.24000000000000002,0.16,0.7274761124755201
700,0.4814399999999999,0.8996706259982692,0.5669931891718399,0.5238457599999999,0.3631272,0.04,0.56626595456,0.24000000000000002,0.16,0.7313740852933863
725,0.4814399999999999,0.8996706259982692,0.5669931891718399,0.5260245145599999,0.3631272,0.04,0.56626595456,0.24000000000000002,0.16048,0.7313740852933863
750,0.4799999999999999,0.8996706259982692,0.5669931891718399,0.5260245145599999,0.3631272,0.04,0.56626595456,0.24000000000000002,0.16048,0.7313740852933863
775,0.4799999999999999,0.8996706259982692,0.5669931891718399,0.5260245145599999,0.3631272,0.04,0.56626595456,0.24000000000000002,0.16048,0.7313740852933863
800,0.4799999999999999,0.8996706259982692,0.5669931891718399,0.5260245145599999,0.3631272,0.04,0.56626595456,0.24000000000000002,0.16048,0.7313740852933863
