"Flock size, perception, aC, cC, sC",10,500,10,10,10
25,0.16896274691266464,0.25340014824178086,0.7240374409541275,0.9301175041670359,0.6360036121070611,0.1212716451264477,0.8952567055320734,0.17483032805787022,0.4365874922743011,0.44972466057832566
50,0.16024000000000002,0.24144576864000003,0.7313725409382221,0.9296345600000002,0.6491835676192,0.12,0.8967265362884667,0.16,0.44410019455999994,0.43999999999999995
75,0.16024000000000002,0.24144576864000003,0.7313725409382221,0.9344923673600002,0.6521172290249153,0.12,0.9011205315347199,0.16,0.44410019455999994,0.44143999999999994
100,0.16024000000000002,0.24144576864000003,0.7350407761838514,0.9362129904857603,0.6521172290249153,0.12,0.9011205315347199,0.16,0.44555462911999993,0.44143999999999994
125,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9453097127592469,0.6521172290249153,0.12,0.9011205315347199,0.16,0.44555462911999993,0.4424057599999999
150,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.946310730211233,0.6533462892632704,0.12,0.9011205315347199,0.16,0.44555462911999993,0.44555462911999993
175,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.946310730211233,0.6533462892632704,0.12,0.9011205315347199,0.16,0.44555462911999993,0.44555462911999993
200,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
225,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
250,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
275,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
300,0.16,0.24120288,0.7231200000000001,0.9411175902209179,0.6506467374784001,0.12,0.8906133664000002,0.16,0.44410019455999994,0.44410019455999994
325,0.16,0.24072000000000002,0.72649872,0.9362129904857603,0.6501652974784,0.12,0.8891531459200002,0.16,0.44264575999999994,0.44264575999999994
350,0.16,0.24072144000000004,0.72965918698368,0.9305945600000002,0.64772183776,0.12,0.8940269756022133,0.16,0.44167999999999996,0.44167999999999996
375,0.16,0.24072144000000004,0.7313725409382221,0.9286688345600003,0.6489435676192001,0.12,0.8967265362884667,0.16,0.44167999999999996,0.44385151999999994
400,0.16024000000000002,0.24072144000000004,0.7367644102621208,0.9376747553727643,0.6489435676192001,0.12,0.9011205315347199,0.16,0.44167999999999996,0.44385151999999994
425,0.16024000000000002,0.24072144000000004,0.7367644102621208,0.9418565539627977,0.6521172290249153,0.12,0.9038361929805334,0.16,0.44457727999999996,0.44385151999999994
450,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6521172290249153,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44385151999999994
475,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.8819243200000002,0.16,0.44555462911999993,0.44555462911999993
500,0.16,0.24072144000000004,0.7325913386457601,0.9396455540581685,0.64312,0.12,0.8855272000000002,0.16,0.44385151999999994,0.44385151999999994
525,0.16024000000000002,0.24096144000000003,0.7311209168428799,0.9286688345600003,0.6491835676192,0.12,0.8959846755285953,0.16,0.44410019455999994,0.44143999999999994
550,0.16024000000000002,0.24144576864000003,0.7350407761838514,0.943594989912425,0.6521172290249153,0.12,0.9011205315347199,0.16,0.44555462911999993,0.44167999999999996
575,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
600,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
625,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
650,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
675,0.16024000000000002,0.24144576864000003,0.7367644102621208,0.9465624861004075,0.6533462892632704,0.12,0.9038361929805334,0.16,0.44555462911999993,0.44555462911999993
700,0.16024000000000002,0.24000000000000002,0.72843894048,0.9332837796150312,0.6421600000000001,0.12,0.8918292929555203,0.16,0.44312863999999996,0.43999999999999995
725,0.16,0.24024000000000004,0.72626161728,0.9209600000000002,0.6448129600000001,0.12,0.8889160432000001,0.16,0.44167999999999996,0.44143999999999994
750,0.16024000000000002,0.24096144000000003,0.72505008,0.9274572800000003,0.64796183776,0.12,0.8940269756022133,0.16,0.43999999999999995,0.44143999999999994
775,0.16024000000000002,0.24048000000000003,0.72771606048,0.9323150875673603,0.6469902832000001,0.12,0.8923179848992002,0.16,0.44312863999999996,0.4424057599999999
800,0.16024000000000002,0.24048000000000003,0.72771606048,0.9323150875673603,0.6469902832000001,0.12,0.8923179848992002,0.16,0.44312863999999996,0.4424057599999999
